loss,augmentation,multi_number,Breitbart,CBS,CNN,Fox,HuffPost,NPR,NYtimes,usatoday,wallstreet,washington
mlm_cosdist,combine_aug,3,6.5,5.236,5.583,6.013,5.186,4.825,6.471,5.88,7.601,5.437
mlm_cosdist,combine_aug,4,6.197,5.295,5.725,6.849,5.099,4.766,6.532,5.654,7.398,5.349
mlm_cosdist,combine_aug,5,5.792,5.157,5.609,6.821,5.162,4.693,6.396,5.505,8.459,5.249
class_cossim,cross_sentence_replacement,2,6.679,5.909,6.078,6.886,5.849,5.501,6.232,5.613,8.415,5.946
class_cossim,cross_sentence_replacement,3,6.487,5.978,5.93,6.39,5.448,5.315,6.395,6.044,8.45,5.69
class_cossim,cross_sentence_replacement,4,6.531,5.62,5.817,6.583,5.648,5.185,6.978,5.763,8.147,5.654
class_cossim,cross_sentence_replacement,5,6.665,5.72,5.776,7.337,5.29,5.022,6.879,5.926,8.646,5.727
mlm_supercon,sentence_order_replacement,2,6.33,5.532,5.855,6.341,5.484,5.501,6.426,5.675,8.731,5.506
mlm_supercon,sentence_order_replacement,3,6.383,5.269,5.689,6.521,5.282,5.134,6.31,5.668,7.891,5.606
mlm_supercon,sentence_order_replacement,4,6.406,5.4,5.576,6.172,5.197,5.083,6.274,5.936,7.614,5.398
mlm_supercon,sentence_order_replacement,5,6.01,5.557,5.935,6.317,5.652,5.044,6.574,5.572,8.638,5.49
mlm_supercon,span_cutoff,2,6.41,5.315,5.659,6.176,5.311,5.08,5.948,5.825,7.373,5.586
mlm_supercon,span_cutoff,3,5.993,5.01,5.957,6.165,5.11,4.811,6.136,5.628,7.987,5.76
mlm_supercon,span_cutoff,4,5.962,5.499,5.369,6.489,5.247,4.954,6.39,5.543,7.64,5.54
mlm_supercon,span_cutoff,5,6.439,5.386,5.535,6.016,5.425,5.119,6.134,5.562,8.36,5.377
mlm_supercon,word_order_replacement,2,6.49,5.342,5.932,6.946,5.452,5.24,6.638,5.876,8.386,5.651
mlm_supercon,word_order_replacement,3,6.461,5.337,5.685,6.027,5.712,5.081,6.345,5.442,8.563,5.714
mlm_supercon,word_order_replacement,4,6.859,5.672,5.789,6.598,5.136,5.22,6.732,5.617,8.057,5.624
mlm_supercon,word_order_replacement,5,6.803,5.253,5.894,6.724,5.697,4.824,7.369,5.339,7.821,5.802
mlm_supercon,word_replacement,2,6.58,5.661,6.027,6.484,5.639,5.006,6.306,5.505,8.19,5.724
mlm_supercon,word_replacement,3,6.141,5.457,5.802,6.383,5.393,5.067,7.101,5.723,8.229,5.718
mlm_supercon,word_replacement,4,5.635,5.36,5.676,6.907,5.538,4.811,6.127,5.229,8.811,5.428
mlm_supercon,word_replacement,5,6.871,5.033,5.665,6.436,5.379,5.087,6.639,5.478,7.47,5.543
mlm_supercon,sentence_replacement,2,5.93,5.591,5.7,6.945,5.581,5.042,6.226,5.628,8.513,5.718
mlm_supercon,sentence_replacement,3,6.262,5.133,5.518,6.322,5.475,5.234,6.348,5.419,8.568,5.443
mlm_supercon,sentence_replacement,4,6.316,4.858,5.602,6.617,5.507,5.061,6.648,5.701,8.891,5.409
mlm_supercon,sentence_replacement,5,6.509,5.41,5.636,6.694,5.21,5.138,6.646,5.858,8.015,5.427
